Recipient Name,City,State,FY24 Award
Loma Linda University,Loma Linda,CA,"$315,215 "
University of Colorado Denver,Aurora,CO,"$300,000 "
"Nova Southeastern University, Inc.",Fort Lauderdale,FL,"$235,307 "
University of Illinois at Chicago,Chicago,IL,"$282,395 "
University of Louisville Research Foundation,Louisville,KY,"$353,464 "
Trustees of Boston University,Boston,MA,"$280,168 "
University of Mississippi Medical Center,Jackson,MS,"$264,182 "
"Rutgers, The State University of New Jersey",Newark,NJ,"$376,584 "
"Sunset Park Health Council, Inc.",Brooklyn,NY,"$244,879 "
The Trustees of Columbia University,New York,NY,"$376,568 "
Oregon Health & Sciences University,Portland,OR,"$297,573 "
The Texas A&M University System,College Station,TX,"$299,803 "
Total Award,,,"$3,626,138 "
