"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2010"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","20417100","9807900","12246200","1833000","557700","1218400","46080300","1"
"Alabama","414000","395400","53400","4700","4800","16200","888400"
"Alaska","36200","N/A","2700","5800","23800","6600","75800"
"Arizona","407300","55000","502700","20500","95600","15800","1097000"
"Arkansas","312100","147900","52700","5400","2800","11000","531900"
"California","1420900","457100","3134400","578600","31100","141500","5763500"
"Colorado","323800","40200","239600","15400","6400","19900","645300"
"Connecticut","147900","65000","106300","11300","N/A","11600","342700"
"Delaware","50300","35900","15100","N/A","N/A","N/A","1.05E+05"
"District of Columbia","17400","79700","8400","3400","N/A","N/A","110500"
"Florida","1217200","786900","918900","56700","7200","58800","3045700"
"Georgia","604800","746700","265700","40100","2500","28100","1687900"
"Hawaii","34300","N/A","19200","49100","N/A","31200","136700"
"Idaho","169800","N/A","46900","5700","4100","6500","235400"
"Illinois","695600","534200","411100","62800","4700","36000","1744500"
"Indiana","639500","163400","108800","18300","2500","32700","965200"
"Iowa","272900","39200","44000","6000","N/A","12800","375800"
"Kansas","215900","42600","71200","10900","5000","17700","363300"
"Kentucky","611700","107600","39700","8600","N/A","18800","787800"
"Louisiana","302300","445300","37800","11500","6100","11800","814700"
"Maine","156000","6100","4700","2900","2900","3600","176200"
"Maryland","197400","257200","62900","28800","N/A","17300","564900"
"Massachusetts","371600","86800","188100","44300","N/A","25700","718000"
"Michigan","940200","439100","123500","32000","9600","52300","1596600"
"Minnesota","338600","102900","56000","41500","19800","31700","590500"
"Mississippi","229100","377000","19500","N/A","N/A","8200","638800"
"Missouri","594400","201700","57800","15100","3900","29500","902300"
"Montana","109100","N/A","6300","N/A","19300","3600","139500"
"Nebraska","143600","30000","41300","N/A","5200","8100","231900"
"Nevada","149100","50000","163400","22900","5600","11200","402200"
"New Hampshire","89900","N/A","5300","N/A","N/A","3000","105100"
"New Jersey","301100","198800","298700","57400","2000","20400","878400"
"New Mexico","89200","7100","251300","N/A","53400","6800","411100"
"New York","1039300","612400","854600","248100","10100","65200","2829800"
"North Carolina","710900","533100","264000","28000","29100","43900","1609000"
"North Dakota","58300","N/A","3200","N/A","13800","N/A","79600"
"Ohio","1147700","444400","109400","24800","3400","51600","1781400"
"Oklahoma","320300","74300","100100","10300","59500","56700","621200"
"Oregon","390000","23800","130100","24100","8400","23400","599700"
"Pennsylvania","944600","348500","223800","48700","N/A","54600","1622700"
"Rhode Island","74700","20900","41900","N/A","N/A","6100","147800"
"South Carolina","342900","373800","73600","5800","3000","14000","813200"
"South Dakota","67800","N/A","5300","N/A","34700","6100","117500"
"Tennessee","658400","294400","96100","11400","2600","27800","1090600"
"Texas","1039400","680700","2475100","112400","12100","56100","4375900"
"Utah","225500","9000","98600","15500","8300","7300","364300"
"Vermont","64200","N/A","N/A","N/A","N/A","N/A","71500"
"Virginia","437700","287800","89500","36500","N/A","24400","878000"
"Washington","494200","54900","224300","54900","23600","40100","892000"
"West Virginia","297000","13700","6300","2100","N/A","12100","331600"
"Wisconsin","457900","121300","82500","25500","13500","22300","723000"
"Wyoming","43100","N/A","9100","N/A","3500","2200","58800"
"Puerto Rico","10500","N/A","1638400","N/A","N/A","2600","1653300"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
