,american_indian_alaska_native,suppressed,pct,asian,suppressed,pct,black,suppressed,pct,hispanic,suppressed,pct,native_hawaiian_pacific_islander,suppressed,pct,white,suppressed,pct,multiple_races,suppressed,pct,total,suppressed,pct
Age group (yrs),,,,,,,,,,,,,,,,,,,,,,,,
13–14,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—
15–19,0,—,—,0,—,—,3,2,66.7,1,1,100.0,0,—,—,0,—,—,0,—,—,4,3,75.0
20–24,2,2,100.0,1,1,100.0,5,4,80.0,16,12,75.0,0,—,—,33,31,93.9,0,—,—,58,51,87.9
25–29,3,2,66.7,3,2,66.7,47,33,70.2,75,62,82.7,0,—,—,185,149,80.5,8,8,100.0,323,258,79.9
30–34,7,5,71.4,7,5,71.4,100,81,81.0,156,122,78.2,3,2,66.7,459,357,77.8,19,18,94.7,755,593,78.5
35–39,15,14,93.3,18,16,88.9,145,112,77.2,195,168,86.2,0,—,—,648,529,81.6,21,16,76.2,"1,047",858,81.9
40–44,19,15,78.9,30,29,96.7,168,140,83.3,297,249,83.8,0,—,—,698,572,81.9,23,20,87.0,"1,238","1,028",83.0
45–49,17,15,88.2,24,23,95.8,265,234,88.3,451,394,87.4,1,1,100.0,589,490,83.2,22,20,90.9,"1,377","1,184",86.0
50–54,19,14,73.7,24,24,100.0,481,416,86.5,538,483,89.8,2,1,50.0,740,645,87.2,32,25,78.1,"1,843","1,614",87.6
55–59,30,26,86.7,11,11,100.0,"1,022",911,89.1,837,767,91.6,5,3,60.0,907,829,91.4,30,27,90.0,"2,848","2,579",90.6
60–64,25,23,92.0,11,10,90.9,"1,606","1,453",90.5,986,917,93.0,6,6,100.0,942,888,94.3,39,35,89.7,"3,628","3,341",92.1
≥65,15,14,93.3,9,9,100.0,"2,689","2,530",94.1,"1,058","1,018",96.2,3,3,100.0,759,732,96.4,41,38,92.7,"4,594","4,364",95.0
Gender,,,,,,,,,,,,,,,,,,,,,,,,
Male,71,61,85.9,118,111,94.1,"3,995","3,614",90.5,"3,425","3,108",90.7,15,12,80.0,"3,590","3,154",87.9,120,105,87.5,"11,380","10,205",89.7
Female,81,69,85.2,19,18,94.7,"2,510","2,282",90.9,"1,157","1,062",91.8,5,4,80.0,"2,356","2,060",87.4,114,102,89.5,"6,263","5,616",89.7
Transgender,0,—,—,1,1,100.0,26,20,76.9,28,23,82.1,0,—,—,14,8,57.1,1,0,0.0,72,52,72.2
