,male,pct,female,pct,trans_male,pct,trans_female,pct,other,pct,total,pct
Age group (yrs),,,,,,,,,,,,
<13,"1,495",0.4,"1,598",1.1,*,*,*,*,*,*,"3,093",0.5
13–14,162,<0.1,183,0.1,*,*,*,*,*,*,345,0.1
15–19,"1,473",0.4,848,0.6,11,0.7,62,0.5,7,0.6,"2,401",0.4
20–24,"12,073",3.0,"2,569",1.8,94,6.0,755,5.9,77,6.3,"15,568",2.8
25–29,"31,218",7.7,"5,788",4.1,195,12.5,"1,647",12.9,236,19.4,"39,084",6.9
30–34,"50,213",12.3,"9,650",6.8,263,16.8,"2,457",19.2,272,22.4,"62,855",11.1
35–39,"44,612",10.9,"12,106",8.5,204,13.1,"1,996",15.6,193,15.9,"59,111",10.4
40–44,"39,695",9.7,"15,339",10.8,165,10.6,"1,560",12.2,127,10.5,"56,886",10.1
45–49,"35,206",8.6,"16,717",11.7,123,7.9,"1,189",9.3,71,5.8,"53,306",9.4
50–54,"44,612",10.9,"19,703",13.8,145,9.3,"1,165",9.1,74,6.1,"65,699",11.6
55–59,"55,433",13.6,"20,978",14.7,137,8.8,991,7.8,78,6.4,"77,617",13.7
60–64,"45,512",11.2,"18,081",12.7,111,7.1,566,4.4,46,3.8,"64,316",11.4
≥65,"46,061",11.3,"18,909",13.3,108,6.9,396,3.1,33,2.7,"65,507",11.6
Subtotal,"407,765",100.0,"142,469",100.0,"1,562",100.0,"12,787",100.0,"1,214",100.0,"565,788",100.0
Race/ethnicity,,,,,,,,,,,,
American Indian/Alaska Native,"2,804",0.7,791,0.6,14,0.9,105,0.8,9,0.8,"3,723",0.7
Asian,"7,339",1.8,"1,942",1.4,27,1.8,222,1.8,33,2.8,"9,563",1.7
Black/African American,"157,438",39.2,"83,695",59.5,626,41.9,"6,272",50.1,376,32.0,"248,407",44.6
Hispanic/Latinob,"108,036",26.9,"28,275",20.1,451,30.2,"3,908",31.2,421,35.9,"141,091",25.3
Native Hawaiian/Pacific Islander,821,0.2,196,0.1,6,0.4,79,0.6,6,0.5,"1,108",0.2
White,"118,217",29.4,"22,875",16.3,344,23.0,"1,618",12.9,307,26.1,"143,361",25.7
Multiple races,"6,920",1.7,"2,797",2.0,26,1.7,309,2.5,22,1.9,"10,074",1.8
Subtotal,"401,575",100.0,"140,571",100.0,"1,494",100.0,"12,513",100.0,"1,174",100.0,"557,327",100.0
Transmission category,,,,,,,,,,,,
Male-to-male sexual contact,"237,281",67.9,—,—,—,—,—,—,—,—,"237,281",49.1
Injection drug use,"17,170",4.9,"9,417",7.7,38,3.5,108,1.1,10,1.3,"26,743",5.5
Male-to-male sexual contact,"10,920",3.1,—,—,—,—,—,—,—,—,"10,920",2.3
and injection drug use,,,,,,,,,,,,
Heterosexual contactc,"78,351",22.4,"106,352",87.2,—,—,—,—,—,—,"184,703",38.2
Perinatal,"3,875",1.1,"4,720",3.9,30,2.8,31,0.3,6,0.8,"8,662",1.8
Otherd,"2,088",0.6,"1,464",1.2,6,0.6,35,0.4,4,0.5,"3,597",0.7
Sexual contacte,—,—,—,—,961,89.3,"9,415",94.3,709,91.0,"11,085",2.3
Sexual contacte and injection drug use,—,—,—,—,41,3.8,396,4.0,50,6.4,487,0.1
Subtotal,"349,685",100.0,"121,953",100.0,"1,076",100.0,"9,985",100.0,779,100.0,"483,478",100.0
