"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","273753000","56313","1825000"
"1 - Within the past 30 days","Overall","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","422000","95","64000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.001","0.0003","0.001","0.002","1","0","N/A","N/A","0.001","0.0003","0.001","0.002","406000","93","74000"
"3 - More than 12 months ago","Overall","Overall","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","0.013","0.0009","0.012","0.015","3682000","616","240000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","50000","6","15000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","Overall","0.982","0.0011","0.98","0.984","1","0","N/A","N/A","0.982","0.0011","0.98","0.984","268919000","55438","1856000"
"97 - REFUSED","Overall","Overall","0.001","0.0001","0","0.001","1","0","N/A","N/A","0.001","0.0001","0","0.001","167000","33","41000"
"98 - MISSING","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","99000","30","23000"
"Overall","1 - Male","Overall","0.485","0.0035","0.478","0.492","0.485","0.0035","0.478","0.492","1","0","N/A","N/A","132813000","26955","1274000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.665","0.0698","0.514","0.789","0.002","0.0005","0.001","0.003","281000","54","62000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","Overall","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.623","0.0798","0.455","0.766","0.002","0.0005","0.001","0.003","253000","48","67000"
"3 - More than 12 months ago","1 - Male","Overall","0.009","0.0007","0.008","0.01","0.655","0.0274","0.598","0.708","0.018","0.0014","0.016","0.021","2412000","350","189000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0.0001","0","0","0.708","0.3115","0.105","0.98","0","0.0002","0","0.001","35000","5","21000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","Overall","0.474","0.0035","0.467","0.481","0.482","0.0035","0.475","0.489","0.977","0.0017","0.973","0.98","129699000","26462","1278000"
"97 - REFUSED","1 - Male","Overall","0","0.0001","0","0","0.347","0.1033","0.175","0.57","0","0.0001","0","0.001","58000","16","18000"
"98 - MISSING","1 - Male","Overall","0","0.0001","0","0","0.679","0.103","0.45","0.845","0.001","0.0002","0","0.001","67000","18","21000"
"Overall","2 - Female","Overall","0.515","0.0035","0.508","0.522","0.515","0.0035","0.508","0.522","1","0","N/A","N/A","140940000","29358","1356000"
"1 - Within the past 30 days","2 - Female","Overall","0.001","0.0001","0","0.001","0.335","0.0698","0.211","0.486","0.001","0.0002","0.001","0.001","141000","41","27000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0.001","0.0001","0","0.001","0.377","0.0798","0.234","0.545","0.001","0.0002","0.001","0.002","153000","45","32000"
"3 - More than 12 months ago","2 - Female","Overall","0.005","0.0005","0.004","0.006","0.345","0.0274","0.292","0.402","0.009","0.0009","0.007","0.011","1270000","266","129000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0.0001","0","0","0.292","0.3115","0.02","0.895","0","0.0001","0","0.001","15000","1","15000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","Overall","0.509","0.0036","0.501","0.516","0.518","0.0035","0.511","0.525","0.988","0.0011","0.985","0.99","139220000","28976","1378000"
"97 - REFUSED","2 - Female","Overall","0","0.0001","0","0.001","0.653","0.1033","0.43","0.825","0.001","0.0003","0","0.002","109000","17","36000"
"98 - MISSING","2 - Female","Overall","0","0","0","0","0.321","0.103","0.155","0.55","0","0.0001","0","0","32000","12","11000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","230125000","38949","1723000"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.001","0.0003","0.001","0.002","1","0","N/A","N/A","0.001","0.0003","0.001","0.002","331000","72","63000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","347000","75","64000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.014","0.0009","0.012","0.016","1","0","N/A","N/A","0.014","0.0009","0.012","0.016","3154000","511","213000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","31000","3","21000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","1 - Heterosexual, that is, straight","0.983","0.0011","0.98","0.985","1","0","N/A","N/A","0.983","0.0011","0.98","0.985","226140000","38265","1717000"
"97 - REFUSED","Overall","1 - Heterosexual, that is, straight","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","89000","16","35000"
"98 - MISSING","Overall","1 - Heterosexual, that is, straight","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","26000","5","14000"
"Overall","1 - Male","1 - Heterosexual, that is, straight","0.491","0.0036","0.484","0.498","0.491","0.0036","0.484","0.498","1","0","N/A","N/A","112993000","18859","1165000"
"1 - Within the past 30 days","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0003","0.001","0.002","0.738","0.0626","0.595","0.844","0.002","0.0005","0.001","0.004","245000","45","60000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","1 - Heterosexual, that is, straight","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","1 - Heterosexual, that is, straight","0.001","0.0003","0.001","0.002","0.647","0.0842","0.467","0.794","0.002","0.0005","0.001","0.003","224000","45","60000"
"3 - More than 12 months ago","1 - Male","1 - Heterosexual, that is, straight","0.009","0.0008","0.008","0.011","0.682","0.0308","0.617","0.741","0.019","0.0016","0.016","0.023","2151000","312","183000"
