"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","269430000","56897","2296000"
"1 - Within the past 30 days","Overall","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","0.002","0.0002","0.002","0.002","527000","122","61000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0001","0.001","0.002","1","0","N/A","N/A","0.001","0.0001","0.001","0.002","319000","92","38000"
"3 - More than 12 months ago","Overall","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","0.013","0.0007","0.012","0.015","3520000","587","201000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","18000","2","16000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","50000","7","23000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.983","0.0008","0.981","0.984","1","0","N/A","N/A","0.983","0.0008","0.981","0.984","264782000","56019","2273000"
"97 - REFUSED","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","92000","29","29000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","120000","38","24000"
"Overall","1 - NonHisp White","0.634","0.0044","0.625","0.643","0.634","0.0044","0.625","0.643","1","0","N/A","N/A","170724000","33679","2084000"
"1 - Within the past 30 days","1 - NonHisp White","0.002","0.0002","0.001","0.002","0.809","0.0456","0.701","0.884","0.002","0.0003","0.002","0.003","426000","91","53000"
