"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282007000","59069","5242000"
"1 - Within the past 30 days","Overall","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","432000","108","88000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","589000","81","125000"
"3 - More than 12 months ago","Overall","0.017","0.001","0.015","0.019","1","0","N/A","N/A","0.017","0.001","0.015","0.019","4778000","753","317000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","54000","11","22000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","0.975","0.0012","0.972","0.977","1","0","N/A","N/A","0.975","0.0012","0.972","0.977","274930000","57839","5036000"
"97 - REFUSED","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","186000","29","60000"
"98 - MISSING","Overall","0.004","0.0004","0.003","0.005","1","0","N/A","N/A","0.004","0.0004","0.003","0.005","1039000","248","128000"
"Overall","1 - Respondent is 12 or 13 years old","0.03","0.0009","0.028","0.032","0.03","0.0009","0.028","0.032","1","0","N/A","N/A","8474000","3926","289000"
"1 - Within the past 30 days","1 - Respondent is 12 or 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Respondent is 12 or 13 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Respondent is 12 or 13 years old","0","0","0","0","0.001","0.0006","0","0.005","0","0.0004","0","0.003","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 or 13 years old","0","0","0","0","0.113","0.1101","0.014","0.536","0.001","0.0007","0","0.005","6000","1","6000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Respondent is 12 or 13 years old","0.03","0.0008","0.028","0.032","0.031","0.0009","0.029","0.032","0.993","0.0027","0.985","0.996","8411000","3906","284000"
"97 - REFUSED","1 - Respondent is 12 or 13 years old","0","0","0","0","0.018","0.013","0.004","0.074","0","0.0003","0","0.002","3000","3","2000"
"98 - MISSING","1 - Respondent is 12 or 13 years old","0","0.0001","0","0","0.049","0.0202","0.021","0.11","0.006","0.0027","0.002","0.015","50000","15","23000"
"Overall","10 - Respondent is between 50 and 64 years old","0.22","0.0033","0.213","0.226","0.22","0.0033","0.213","0.226","1","0","N/A","N/A","61929000","5369","1438000"
"1 - Within the past 30 days","10 - Respondent is between 50 and 64 years old","0","0.0002","0","0.001","0.184","0.087","0.066","0.419","0.001","0.0008","0","0.004","79000","8","48000"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is between 50 and 64 years old","0.001","0.0003","0","0.002","0.338","0.1074","0.163","0.572","0.003","0.0015","0.001","0.008","199000","7","90000"
"3 - More than 12 months ago","10 - Respondent is between 50 and 64 years old","0.005","0.0008","0.004","0.007","0.303","0.0353","0.237","0.379","0.023","0.0036","0.017","0.032","1449000","123","229000"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is between 50 and 64 years old","0","0","0","0","0.077","0.0866","0.007","0.49","0","0.0001","0","0","4000","1","4000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","10 - Respondent is between 50 and 64 years old","0.213","0.0033","0.206","0.219","0.218","0.0033","0.211","0.225","0.968","0.0042","0.958","0.975","59930000","5199","1367000"
"97 - REFUSED","10 - Respondent is between 50 and 64 years old","0","0","0","0","0.057","0.0369","0.015","0.194","0","0.0001","0","0.001","11000","3","6000"
"98 - MISSING","10 - Respondent is between 50 and 64 years old","0.001","0.0002","0.001","0.002","0.247","0.0574","0.15","0.379","0.004","0.0011","0.002","0.007","257000","28","67000"
"Overall","11 - Respondent is 65 years old or older","0.201","0.0044","0.193","0.21","0.201","0.0044","0.193","0.21","1","0","N/A","N/A","56776000","5191","1585000"
"1 - Within the past 30 days","11 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","11 - Respondent is 65 years old or older","0.003","0.0005","0.002","0.004","0.184","0.0276","0.135","0.246","0.016","0.0026","0.011","0.022","881000","73","148000"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 65 years old or older","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","11 - Respondent is 65 years old or older","0.197","0.0043","0.189","0.206","0.202","0.0043","0.194","0.211","0.979","0.0028","0.973","0.984","55599000","5095","1569000"
"97 - REFUSED","11 - Respondent is 65 years old or older","0","0.0002","0","0.001","0.32","0.1709","0.088","0.695","0.001","0.0007","0","0.004","60000","3","42000"
"98 - MISSING","11 - Respondent is 65 years old or older","0.001","0.0003","0","0.002","0.228","0.0574","0.133","0.363","0.004","0.0013","0.002","0.008","237000","20","73000"
"Overall","2 - Respondent is 14 or 15 years old","0.032","0.0008","0.031","0.034","0.032","0.0008","0.031","0.034","1","0","N/A","N/A","9067000","4284","311000"
"1 - Within the past 30 days","2 - Respondent is 14 or 15 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Respondent is 14 or 15 years old","0","0","0","0","0.003","0.0033","0","0.025","0","0.0002","0","0.002","2000","1","2000"
