"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","275221000","56136","2735000"
"1 - Within the past 30 days","Overall","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","341000","89","49000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","354000","85","64000"
"3 - More than 12 months ago","Overall","Overall","0.014","0.0008","0.013","0.016","1","0","N/A","N/A","0.014","0.0008","0.013","0.016","3970000","642","223000"
"8 - At some point in the past 12 months LOG ASSN","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","32000","5","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","Overall","0.982","0.0008","0.98","0.983","1","0","N/A","N/A","0.982","0.0008","0.98","0.983","270155000","55226","2659000"
"97 - REFUSED","Overall","Overall","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","231000","46","59000"
"98 - MISSING","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","136000","42","40000"
"Overall","1 - Male","Overall","0.485","0.0032","0.479","0.492","0.485","0.0032","0.479","0.492","1","0","N/A","N/A","133544000","26788","1500000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0001","0.001","0.001","0.586","0.073","0.437","0.722","0.001","0.0003","0.001","0.002","200000","53","36000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.001","0.0002","0","0.001","0.63","0.0861","0.448","0.782","0.002","0.0004","0.001","0.003","223000","47","58000"
"3 - More than 12 months ago","1 - Male","Overall","0.009","0.0007","0.008","0.011","0.653","0.0251","0.601","0.701","0.019","0.0014","0.017","0.022","2592000","366","190000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0.0001","0","0.001","0.942","0.0605","0.635","0.994","0","0.0002","0","0.001","30000","3","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","Overall","0.473","0.0032","0.467","0.48","0.482","0.0033","0.476","0.489","0.976","0.0014","0.973","0.978","130294000","26272","1442000"
"97 - REFUSED","1 - Male","Overall","0","0.0002","0","0.001","0.47","0.1262","0.243","0.71","0.001","0.0003","0","0.002","108000","20","45000"
"98 - MISSING","1 - Male","Overall","0","0.0001","0","0.001","0.691","0.1362","0.383","0.889","0.001","0.0002","0","0.001","94000","26","33000"
"Overall","2 - Female","Overall","0.515","0.0032","0.508","0.521","0.515","0.0032","0.508","0.521","1","0","N/A","N/A","141678000","29348","1746000"
"1 - Within the past 30 days","2 - Female","Overall","0.001","0.0001","0","0.001","0.414","0.073","0.278","0.563","0.001","0.0002","0.001","0.002","141000","36","33000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0","0.0001","0","0.001","0.37","0.0861","0.218","0.552","0.001","0.0002","0.001","0.002","131000","38","33000"
"3 - More than 12 months ago","2 - Female","Overall","0.005","0.0004","0.004","0.006","0.347","0.0251","0.299","0.399","0.01","0.0008","0.008","0.012","1378000","276","115000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0","0","0","0.058","0.0605","0.006","0.365","0","0","0","0","2000","2","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","Overall","0.508","0.0032","0.502","0.515","0.518","0.0033","0.511","0.524","0.987","0.0008","0.985","0.989","139861000","28954","1746000"
"97 - REFUSED","2 - Female","Overall","0","0.0001","0","0.001","0.53","0.1262","0.29","0.757","0.001","0.0003","0","0.002","122000","26","37000"
"98 - MISSING","2 - Female","Overall","0","0.0001","0","0","0.309","0.1362","0.111","0.617","0","0.0002","0","0.001","42000","16","22000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","230252000","38214","2482000"
