"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","276912000","32893","3970000"
"1 - Within the past 30 days","Overall","0.002","0.0005","0.001","0.003","1","0","N/A","N/A","0.002","0.0005","0.001","0.003","506000","52","134000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","605000","62","118000"
"3 - More than 12 months ago","Overall","0.014","0.0014","0.012","0.017","1","0","N/A","N/A","0.014","0.0014","0.012","0.017","3953000","362","398000"
"9 - At some point in the lifetime LOG ASSN","Overall","0.001","0.0005","0","0.003","1","0","N/A","N/A","0.001","0.0005","0","0.003","268000","6","146000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","0.975","0.0016","0.971","0.978","1","0","N/A","N/A","0.975","0.0016","0.971","0.978","269890000","32201","3866000"
"97 - REFUSED","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","181000","17","65000"
"98 - MISSING","Overall","0.005","0.0007","0.004","0.007","1","0","N/A","N/A","0.005","0.0007","0.004","0.007","1508000","193","185000"
"Overall","1 - NonHisp White","0.617","0.0075","0.601","0.632","0.617","0.0075","0.601","0.632","1","0","N/A","N/A","170743000","21362","2587000"
"1 - Within the past 30 days","1 - NonHisp White","0.001","0.0004","0.001","0.002","0.718","0.1091","0.463","0.882","0.002","0.0007","0.001","0.004","364000","38","115000"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.001","0.0004","0.001","0.002","0.675","0.0908","0.475","0.827","0.002","0.0006","0.001","0.004","409000","45","99000"
"3 - More than 12 months ago","1 - NonHisp White","0.011","0.0012","0.008","0.013","0.741","0.0419","0.648","0.816","0.017","0.0019","0.014","0.021","2928000","294","324000"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0.0002","0","0.001","0.32","0.22","0.058","0.782","0.001","0.0004","0","0.002","86000","4","60000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - NonHisp White","0.6","0.0076","0.584","0.615","0.615","0.0075","0.6","0.63","0.973","0.0023","0.967","0.977","166049000","20870","2565000"
"97 - REFUSED","1 - NonHisp White","0","0.0002","0","0.001","0.469","0.1738","0.178","0.782","0","0.0003","0","0.001","85000","6","47000"
"98 - MISSING","1 - NonHisp White","0.003","0.0006","0.002","0.004","0.546","0.058","0.429","0.658","0.005","0.0009","0.003","0.007","824000","105","152000"
