"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282007000","59069","5242000"
"1 - Within the past 30 days","Overall","0.002","0.0003","0.001","0.002","1","0","N/A","N/A","0.002","0.0003","0.001","0.002","432000","108","88000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","589000","81","125000"
"3 - More than 12 months ago","Overall","0.017","0.001","0.015","0.019","1","0","N/A","N/A","0.017","0.001","0.015","0.019","4778000","753","317000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","54000","11","22000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","0.975","0.0012","0.972","0.977","1","0","N/A","N/A","0.975","0.0012","0.972","0.977","274930000","57839","5036000"
"97 - REFUSED","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","186000","29","60000"
"98 - MISSING","Overall","0.004","0.0004","0.003","0.005","1","0","N/A","N/A","0.004","0.0004","0.003","0.005","1039000","248","128000"
"Overall","1 - NonHisp White","0.606","0.0076","0.591","0.622","0.606","0.0076","0.591","0.622","1","0","N/A","N/A","171026000","34169","3575000"
"1 - Within the past 30 days","1 - NonHisp White","0.001","0.0003","0.001","0.002","0.668","0.0861","0.48","0.815","0.002","0.0005","0.001","0.003","289000","70","78000"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.002","0.0003","0.001","0.002","0.728","0.1097","0.468","0.891","0.003","0.0006","0.002","0.004","429000","56","94000"
"3 - More than 12 months ago","1 - NonHisp White","0.013","0.001","0.011","0.015","0.781","0.0244","0.728","0.826","0.022","0.0016","0.019","0.025","3730000","578","303000"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0","0","0","0.578","0.2201","0.183","0.894","0","0.0001","0","0","31000","7","12000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - NonHisp White","0.588","0.0074","0.574","0.603","0.604","0.0076","0.588","0.619","0.97","0.0019","0.966","0.974","165939000","33323","3378000"
"97 - REFUSED","1 - NonHisp White","0","0.0001","0","0.001","0.412","0.157","0.16","0.721","0","0.0002","0","0.001","77000","15","38000"
"98 - MISSING","1 - NonHisp White","0.002","0.0003","0.001","0.003","0.512","0.0617","0.39","0.633","0.003","0.0005","0.002","0.004","532000","120","87000"
"Overall","2 - NonHisp Black/Afr Am","0.122","0.004","0.114","0.13","0.122","0.004","0.114","0.13","1","0","N/A","N/A","34439000","7155","1098000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.068","0.034","0.024","0.177","0.001","0.0004","0","0.002","29000","8","15000"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.063","0.0335","0.021","0.174","0.001","0.0007","0","0.004","37000","3","23000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0003","0.001","0.002","0.055","0.015","0.032","0.095","0.008","0.0022","0.004","0.014","265000","35","74000"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.12","0.004","0.112","0.128","0.123","0.0041","0.115","0.132","0.983","0.0031","0.976","0.988","33857000","7055","1106000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0.0001","0","0.001","0.165","0.1193","0.034","0.53","0.001","0.0007","0","0.004","31000","3","24000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0.001","0.0002","0","0.001","0.211","0.0456","0.134","0.317","0.006","0.0017","0.004","0.011","220000","51","58000"
"Overall","3 - NonHisp Native Am/AK Native","0.005","0.0005","0.004","0.006","0.005","0.0005","0.004","0.006","1","0","N/A","N/A","1475000","865","139000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.008","0.0079","0.001","0.053","0.002","0.0023","0","0.016","4000","2","3000"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0","0","0","0.013","0.0094","0.003","0.054","0.005","0.0037","0.001","0.021","8000","7","5000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0.0001","0","0.001","0.013","0.0073","0.004","0.04","0.043","0.0228","0.015","0.12","64000","18","35000"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.005","0.0005","0.004","0.006","0.005","0.0005","0.004","0.006","0.94","0.0229","0.874","0.972","1386000","832","129000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0","0","0","0.013","0.0069","0.005","0.037","0.009","0.0046","0.003","0.025","14000","6","7000"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0007","0.003","0.006","0.004","0.0007","0.003","0.006","1","0","N/A","N/A","1213000","250","198000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0.0001","0","0.001","0.059","0.0567","0.008","0.328","0.021","0.0213","0.003","0.146","25000","1","25000"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.002","0.0024","0","0.018","0.001","0.0011","0","0.008","1000","1","1000"
