"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","267694000","57146","2461000"
"1 - Within the past 30 days","Overall","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","407000","85","52000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","382000","95","59000"
"3 - More than 12 months ago","Overall","Overall","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","0.013","0.0008","0.012","0.015","3579000","630","214000"
"8 - At some point in the past 12 months LOG ASSN","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","55000","7","38000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","Overall","0.982","0.0009","0.98","0.984","1","0","N/A","N/A","0.982","0.0009","0.98","0.984","262914000","56253","2454000"
"97 - REFUSED","Overall","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","184000","39","47000"
"98 - MISSING","Overall","Overall","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","172000","36","57000"
"Overall","1 - Male","Overall","0.485","0.0033","0.478","0.491","0.485","0.0033","0.478","0.491","1","0","N/A","N/A","129734000","26736","1663000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.821","0.0444","0.714","0.893","0.003","0.0004","0.002","0.003","334000","60","49000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.001","0.0002","0.001","0.001","0.68","0.0623","0.544","0.791","0.002","0.0004","0.001","0.003","260000","49","54000"
"3 - More than 12 months ago","1 - Male","Overall","0.009","0.0007","0.008","0.011","0.68","0.0235","0.631","0.726","0.019","0.0015","0.016","0.022","2435000","375","193000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0.0001","0","0.001","0.873","0.1169","0.452","0.983","0","0.0003","0","0.002","48000","4","38000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","Overall","0.473","0.0032","0.466","0.479","0.481","0.0033","0.475","0.488","0.975","0.0017","0.971","0.978","126495000","26208","1620000"
"97 - REFUSED","1 - Male","Overall","0","0.0001","0","0.001","0.505","0.1135","0.291","0.718","0.001","0.0003","0","0.001","93000","21","34000"
"98 - MISSING","1 - Male","Overall","0","0.0001","0","0.001","0.404","0.1336","0.182","0.674","0.001","0.0002","0","0.001","69000","19","27000"
"Overall","2 - Female","Overall","0.515","0.0033","0.509","0.522","0.515","0.0033","0.509","0.522","1","0","N/A","N/A","137961000","30410","1349000"
"1 - Within the past 30 days","2 - Female","Overall","0","0.0001","0","0","0.179","0.0444","0.107","0.286","0.001","0.0001","0","0.001","73000","25","19000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","Overall","0","0.0001","0","0.001","0.32","0.0623","0.209","0.456","0.001","0.0002","0.001","0.001","122000","46","24000"
"3 - More than 12 months ago","2 - Female","Overall","0.004","0.0003","0.004","0.005","0.32","0.0235","0.274","0.369","0.008","0.0006","0.007","0.01","1144000","255","87000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","1","1000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","Overall","0","0","0","0","0.127","0.1169","0.017","0.548","0","0","0","0","7000","3","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","Overall","0.51","0.0033","0.503","0.516","0.519","0.0033","0.512","0.525","0.989","0.0009","0.987","0.99","136420000","30045","1354000"
"97 - REFUSED","2 - Female","Overall","0","0.0001","0","0.001","0.495","0.1135","0.282","0.709","0.001","0.0002","0","0.001","91000","18","29000"
"98 - MISSING","2 - Female","Overall","0","0.0002","0","0.001","0.596","0.1336","0.326","0.818","0.001","0.0003","0","0.002","102000","17","46000"
"Overall","Overall","1 - Heterosexual, that is, straight","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","228115000","40154","2282000"
"1 - Within the past 30 days","Overall","1 - Heterosexual, that is, straight","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","345000","70","52000"
"2 - More than 30 days ago but within the past 12 mos","Overall","1 - Heterosexual, that is, straight","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","342000","82","53000"
"3 - More than 12 months ago","Overall","1 - Heterosexual, that is, straight","0.014","0.0009","0.012","0.016","1","0","N/A","N/A","0.014","0.0009","0.012","0.016","3241000","539","215000"
"8 - At some point in the past 12 months LOG ASSN","Overall","1 - Heterosexual, that is, straight","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
