"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","272103000","56276","1892000"
"1 - Within the past 30 days","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","497000","125","58000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","446000","104","64000"
"3 - More than 12 months ago","Overall","0.013","0.0008","0.011","0.015","1","0","N/A","N/A","0.013","0.0008","0.011","0.015","3513000","631","219000"
"8 - At some point in the past 12 months LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","4000","2","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","18000","7","7000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0009","0.981","0.984","1","0","N/A","N/A","0.982","0.0009","0.981","0.984","267319000","55327","1829000"
"97 - REFUSED","Overall","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","211000","45","46000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","87000","34","22000"
"Overall","1 - NonHisp White","0.628","0.0044","0.619","0.636","0.628","0.0044","0.619","0.636","1","0","N/A","N/A","170763000","33117","1764000"
"1 - Within the past 30 days","1 - NonHisp White","0.001","0.0002","0.001","0.002","0.79","0.0526","0.666","0.877","0.002","0.0003","0.002","0.003","393000","99","53000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - NonHisp White","0","0","0","0","1","0","N/A","N/A","0","0","0","0","6000","1","6000"
