"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","275221000","56136","2735000"
"1 - Within the past 30 days","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","341000","89","49000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","354000","85","64000"
"3 - More than 12 months ago","Overall","0.014","0.0008","0.013","0.016","1","0","N/A","N/A","0.014","0.0008","0.013","0.016","3970000","642","223000"
"8 - At some point in the past 12 months LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","32000","5","25000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0008","0.98","0.983","1","0","N/A","N/A","0.982","0.0008","0.98","0.983","270155000","55226","2659000"
"97 - REFUSED","Overall","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","231000","46","59000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","136000","42","40000"
"Overall","1 - Respondent is 12 years old","0.014","0.0005","0.013","0.015","0.014","0.0005","0.013","0.015","1","0","N/A","N/A","3936000","2086","122000"
"1 - Within the past 30 days","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Respondent is 12 years old","0","0","0","0","0","0.0001","0","0","0","0.0001","0","0","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Respondent is 12 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Respondent is 12 years old","0","0","0","0","0.04","0.0422","0.005","0.273","0","0.0002","0","0.001","1000","2","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Respondent is 12 years old","0.014","0.0005","0.013","0.015","0.014","0.0005","0.014","0.015","0.994","0.0018","0.989","0.997","3912000","2069","123000"
"97 - REFUSED","1 - Respondent is 12 years old","0","0","0","0","0.012","0.0117","0.002","0.079","0.001","0.0007","0","0.006","3000","1","3000"
"98 - MISSING","1 - Respondent is 12 years old","0","0","0","0","0.144","0.052","0.068","0.282","0.005","0.0016","0.003","0.009","20000","13","6000"
"Overall","10 - Respondent is 21 years old","0.015","0.0006","0.014","0.016","0.015","0.0006","0.014","0.016","1","0","N/A","N/A","4045000","1682","154000"
"1 - Within the past 30 days","10 - Respondent is 21 years old","0","0","0","0","0.008","0.0083","0.001","0.06","0.001","0.0007","0","0.005","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","10 - Respondent is 21 years old","0","0","0","0","0.013","0.0081","0.004","0.045","0.001","0.0007","0","0.004","5000","3","3000"
"3 - More than 12 months ago","10 - Respondent is 21 years old","0","0","0","0","0.007","0.0027","0.003","0.015","0.007","0.0026","0.003","0.014","27000","10","10000"
"8 - At some point in the past 12 months LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","10 - Respondent is 21 years old","0.015","0.0006","0.013","0.016","0.015","0.0006","0.014","0.016","0.991","0.0028","0.983","0.995","4008000","1667","155000"
"97 - REFUSED","10 - Respondent is 21 years old","0","0","0","0","0.011","0.0109","0.001","0.077","0.001","0.0006","0","0.005","3000","1","3000"
"98 - MISSING","10 - Respondent is 21 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","11 - Respondent is 22 or 23 years old","0.029","0.0007","0.028","0.031","0.029","0.0007","0.028","0.031","1","0","N/A","N/A","8101000","3444","200000"
"1 - Within the past 30 days","11 - Respondent is 22 or 23 years old","0","0","0","0","0.046","0.0208","0.018","0.111","0.002","0.0008","0.001","0.005","16000","9","7000"
"2 - More than 30 days ago but within the past 12 mos","11 - Respondent is 22 or 23 years old","0","0","0","0","0.063","0.0332","0.021","0.172","0.003","0.0014","0.001","0.008","22000","9","11000"
"3 - More than 12 months ago","11 - Respondent is 22 or 23 years old","0","0","0","0","0.01","0.0027","0.006","0.017","0.005","0.0012","0.003","0.008","40000","19","10000"
"8 - At some point in the past 12 months LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","11 - Respondent is 22 or 23 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","11 - Respondent is 22 or 23 years old","0.029","0.0007","0.028","0.031","0.03","0.0007","0.028","0.031","0.989","0.0022","0.983","0.992","8009000","3404","201000"
"97 - REFUSED","11 - Respondent is 22 or 23 years old","0","0","0","0","0.056","0.0401","0.012","0.215","0.002","0.0011","0","0.007","13000","2","9000"
"98 - MISSING","11 - Respondent is 22 or 23 years old","0","0","0","0","0.008","0.0081","0.001","0.061","0","0.0001","0","0.001","1000","1","1000"
"Overall","12 - Respondent is 24 or 25 years old","0.031","0.0007","0.029","0.032","0.031","0.0007","0.029","0.032","1","0","N/A","N/A","8395000","3731","210000"
"1 - Within the past 30 days","12 - Respondent is 24 or 25 years old","0","0","0","0","0.076","0.0257","0.038","0.146","0.003","0.001","0.002","0.006","26000","13","8000"
"2 - More than 30 days ago but within the past 12 mos","12 - Respondent is 24 or 25 years old","0","0","0","0","0.07","0.0306","0.028","0.162","0.003","0.0013","0.001","0.007","25000","9","11000"
"3 - More than 12 months ago","12 - Respondent is 24 or 25 years old","0","0.0001","0","0","0.021","0.0039","0.015","0.031","0.01","0.0019","0.007","0.015","84000","49","15000"
