"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-RACE/HISPANICITY RECODE (7 LEVELS)","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","273753000","56313","1825000"
"1 - Within the past 30 days","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","422000","95","64000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0003","0.001","0.002","1","0","N/A","N/A","0.001","0.0003","0.001","0.002","406000","93","74000"
"3 - More than 12 months ago","Overall","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","0.013","0.0009","0.012","0.015","3682000","616","240000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","50000","6","15000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0011","0.98","0.984","1","0","N/A","N/A","0.982","0.0011","0.98","0.984","268919000","55438","1856000"
"97 - REFUSED","Overall","0.001","0.0001","0","0.001","1","0","N/A","N/A","0.001","0.0001","0","0.001","167000","33","41000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","99000","30","23000"
"Overall","1 - NonHisp White","0.624","0.0047","0.614","0.633","0.624","0.0047","0.614","0.633","1","0","N/A","N/A","170724000","32761","1748000"
"1 - Within the past 30 days","1 - NonHisp White","0.001","0.0002","0.001","0.002","0.84","0.0465","0.724","0.913","0.002","0.0004","0.001","0.003","355000","71","62000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - NonHisp White","0","0","0","0","1","0","N/A","N/A","0","0","0","0","8000","1","8000"
"2 - More than 30 days ago but within the past 12 mos","1 - NonHisp White","0.001","0.0002","0.001","0.001","0.671","0.0948","0.463","0.828","0.002","0.0002","0.001","0.002","272000","64","41000"
"3 - More than 12 months ago","1 - NonHisp White","0.011","0.0008","0.01","0.013","0.821","0.0205","0.776","0.859","0.018","0.0012","0.015","0.02","3024000","483","213000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - NonHisp White","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","1 - NonHisp White","0","0","0","0","0.61","0.1777","0.259","0.875","0","0","0","0","30000","2","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - NonHisp White","0.61","0.0046","0.6","0.619","0.621","0.0047","0.611","0.63","0.978","0.0014","0.975","0.98","166926000","32113","1738000"
"97 - REFUSED","1 - NonHisp White","0","0.0001","0","0.001","0.56","0.1227","0.319","0.776","0.001","0.0002","0","0.001","93000","19","29000"
"98 - MISSING","1 - NonHisp White","0","0","0","0","0.154","0.0765","0.053","0.372","0","0","0","0","15000","7","8000"
"Overall","2 - NonHisp Black/Afr Am","0.12","0.0032","0.114","0.127","0.12","0.0032","0.114","0.127","1","0","N/A","N/A","32945000","7198","914000"
"1 - Within the past 30 days","2 - NonHisp Black/Afr Am","0","0","0","0","0.02","0.0154","0.004","0.09","0","0.0002","0","0.001","8000","2","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - NonHisp Black/Afr Am","0","0","0","0","0.053","0.0316","0.016","0.165","0.001","0.0004","0","0.002","22000","4","13000"
"3 - More than 12 months ago","2 - NonHisp Black/Afr Am","0.001","0.0002","0","0.001","0.051","0.0147","0.028","0.09","0.006","0.0017","0.003","0.01","186000","22","58000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - NonHisp Black/Afr Am","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.279","0.2025","0.049","0.745","0","0.0004","0","0.003","14000","1","14000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - NonHisp Black/Afr Am","0.119","0.0032","0.113","0.126","0.121","0.0032","0.115","0.128","0.991","0.0021","0.986","0.994","32647000","7157","898000"
"97 - REFUSED","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.232","0.1151","0.076","0.525","0.001","0.0007","0","0.004","39000","6","23000"
"98 - MISSING","2 - NonHisp Black/Afr Am","0","0.0001","0","0","0.297","0.1297","0.108","0.595","0.001","0.0005","0","0.003","29000","6","16000"
"Overall","3 - NonHisp Native Am/AK Native","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1610000","767","136000"
"1 - Within the past 30 days","3 - NonHisp Native Am/AK Native","0","0","0","0","0.013","0.0075","0.004","0.041","0.003","0.0019","0.001","0.01","6000","4","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - NonHisp Native Am/AK Native","0","0","0","0","0.003","0.0024","0.001","0.014","0.001","0.0006","0","0.003","1000","2","1000"
"3 - More than 12 months ago","3 - NonHisp Native Am/AK Native","0","0","0","0","0.009","0.0035","0.004","0.02","0.021","0.0074","0.01","0.042","34000","16","12000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - NonHisp Native Am/AK Native","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","0.972","0.0081","0.95","0.984","1565000","743","132000"
"97 - REFUSED","3 - NonHisp Native Am/AK Native","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - NonHisp Native Am/AK Native","0","0","0","0","0.044","0.0351","0.009","0.196","0.003","0.0021","0.001","0.013","4000","2","3000"
"Overall","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0005","0.003","0.005","0.004","0.0005","0.003","0.005","1","0","N/A","N/A","1024000","293","133000"
"1 - Within the past 30 days","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.02","0.0193","0.003","0.129","0.008","0.008","0.001","0.058","8000","1","8000"
"3 - More than 12 months ago","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0","0.0001","0","0.001","0","0.0003","0","0.002","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - NonHisp Native HI/Other Pac Isl","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - NonHisp Native HI/Other Pac Isl","0.004","0.0005","0.003","0.005","0.004","0.0005","0.003","0.005","0.987","0.0089","0.949","0.997","1011000","289","133000"
"97 - REFUSED","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.007","0.0074","0.001","0.054","0.001","0.0012","0","0.009","1000","1","1000"
"98 - MISSING","4 - NonHisp Native HI/Other Pac Isl","0","0","0","0","0.038","0.0383","0.005","0.245","0.004","0.0036","0.001","0.026","4000","1","4000"
"Overall","5 - NonHisp Asian","0.057","0.0023","0.052","0.062","0.057","0.0023","0.052","0.062","1","0","N/A","N/A","15576000","2670","640000"
"1 - Within the past 30 days","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - NonHisp Asian","0","0","0","0","0.009","0.0083","0.001","0.058","0","0.0002","0","0.002","3000","1","3000"
"3 - More than 12 months ago","5 - NonHisp Asian","0","0","0","0","0.004","0.0025","0.001","0.013","0.001","0.0006","0","0.003","16000","4","9000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - NonHisp Asian","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - NonHisp Asian","0.057","0.0023","0.052","0.061","0.058","0.0023","0.053","0.063","0.996","0.0013","0.993","0.998","15515000","2654","640000"
"97 - REFUSED","5 - NonHisp Asian","0","0","0","0","0.06","0.0444","0.013","0.237","0.001","0.0005","0","0.003","10000","2","7000"
"98 - MISSING","5 - NonHisp Asian","0","0.0001","0","0","0.321","0.1123","0.144","0.571","0.002","0.0009","0.001","0.005","32000","9","14000"
"Overall","6 - NonHisp more than one race","0.019","0.0009","0.018","0.021","0.019","0.0009","0.018","0.021","1","0","N/A","N/A","5242000","2147","238000"
"1 - Within the past 30 days","6 - NonHisp more than one race","0","0","0","0","0.023","0.0135","0.007","0.073","0.002","0.0011","0.001","0.006","10000","4","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - NonHisp more than one race","0","0","0","0","0.031","0.0205","0.008","0.112","0.002","0.0016","0.001","0.009","13000","6","8000"
"3 - More than 12 months ago","6 - NonHisp more than one race","0","0.0001","0","0.001","0.026","0.0086","0.013","0.05","0.018","0.0059","0.01","0.035","96000","29","32000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - NonHisp more than one race","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - NonHisp more than one race","0.019","0.0008","0.017","0.02","0.019","0.0008","0.017","0.021","0.974","0.0068","0.956","0.985","5104000","2105","231000"
"97 - REFUSED","6 - NonHisp more than one race","0","0.0001","0","0","0.089","0.0817","0.013","0.426","0.003","0.0028","0","0.02","15000","2","14000"
"98 - MISSING","6 - NonHisp more than one race","0","0","0","0","0.041","0.0403","0.005","0.252","0.001","0.0008","0","0.006","4000","1","4000"
"Overall","7 - Hispanic","0.17","0.0039","0.163","0.178","0.17","0.0039","0.163","0.178","1","0","N/A","N/A","46632000","10477","1102000"
"1 - Within the past 30 days","7 - Hispanic","0","0.0001","0","0","0.104","0.04","0.046","0.215","0.001","0.0004","0","0.002","44000","14","17000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Hispanic","0","0.0002","0","0.001","0.213","0.1042","0.072","0.485","0.002","0.0011","0.001","0.006","86000","15","53000"
"3 - More than 12 months ago","7 - Hispanic","0.001","0.0002","0.001","0.002","0.089","0.0132","0.065","0.119","0.007","0.0011","0.005","0.01","326000","61","51000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Hispanic","0","0","0","0","0.111","0.0791","0.024","0.385","0","0.0001","0","0.001","6000","3","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Hispanic","0.169","0.0039","0.161","0.177","0.172","0.0039","0.164","0.18","0.99","0.002","0.985","0.993","46151000","10377","1100000"
"97 - REFUSED","7 - Hispanic","0","0","0","0","0.052","0.0329","0.014","0.173","0","0.0001","0","0.001","9000","3","5000"
"98 - MISSING","7 - Hispanic","0","0","0","0","0.105","0.0652","0.029","0.321","0","0.0001","0","0.001","10000","4","6000"
