"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","272103000","56276","1892000"
"1 - Within the past 30 days","Overall","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","497000","125","58000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","6000","1","6000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","446000","104","64000"
"3 - More than 12 months ago","Overall","Overall","0.013","0.0008","0.011","0.015","1","0","N/A","N/A","0.013","0.0008","0.011","0.015","3513000","631","219000"
"8 - At some point in the past 12 months LOG ASSN","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","4000","2","3000"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","18000","7","7000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","Overall","0.982","0.0009","0.981","0.984","1","0","N/A","N/A","0.982","0.0009","0.981","0.984","267319000","55327","1829000"
"97 - REFUSED","Overall","Overall","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","211000","45","46000"
"98 - MISSING","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","87000","34","22000"
"Overall","1 - Male","Overall","0.485","0.0028","0.48","0.491","0.485","0.0028","0.48","0.491","1","0","N/A","N/A","131992000","27037","1134000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.753","0.0447","0.653","0.832","0.003","0.0004","0.002","0.004","375000","86","47000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","Overall","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.652","0.0541","0.538","0.752","0.002","0.0004","0.002","0.003","291000","63","55000"
"3 - More than 12 months ago","1 - Male","Overall","0.008","0.0006","0.007","0.01","0.645","0.0308","0.581","0.704","0.017","0.0013","0.015","0.02","2265000","364","172000"
