"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","269430000","56897","2296000"
"1 - Within the past 30 days","Overall","Overall","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","0.002","0.0002","0.002","0.002","527000","122","61000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","Overall","Overall","0.001","0.0001","0.001","0.002","1","0","N/A","N/A","0.001","0.0001","0.001","0.002","319000","92","38000"
"3 - More than 12 months ago","Overall","Overall","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","0.013","0.0007","0.012","0.015","3520000","587","201000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","18000","2","16000"
"9 - At some point in the lifetime LOG ASSN","Overall","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","50000","7","23000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","Overall","0.983","0.0008","0.981","0.984","1","0","N/A","N/A","0.983","0.0008","0.981","0.984","264782000","56019","2273000"
"97 - REFUSED","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","92000","29","29000"
"98 - MISSING","Overall","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","120000","38","24000"
"Overall","1 - Male","Overall","0.485","0.0031","0.479","0.491","0.485","0.0031","0.479","0.491","1","0","N/A","N/A","130612000","27141","1425000"
"1 - Within the past 30 days","1 - Male","Overall","0.001","0.0002","0.001","0.002","0.65","0.0473","0.55","0.738","0.003","0.0003","0.002","0.003","342000","75","43000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","Overall","0.001","0.0001","0.001","0.001","0.675","0.0577","0.55","0.779","0.002","0.0002","0.001","0.002","215000","52","31000"
"3 - More than 12 months ago","1 - Male","Overall","0.009","0.0006","0.007","0.01","0.653","0.0228","0.606","0.698","0.018","0.0012","0.015","0.02","2299000","363","164000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","Overall","0","0.0001","0","0","0.893","0.1351","0.328","0.993","0","0.0001","0","0.001","16000","1","16000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","Overall","0","0.0001","0","0","0.796","0.1352","0.423","0.954","0","0.0002","0","0.001","40000","4","22000"
