,male,pct,female,pct,trans_male,pct,trans_female,pct,other,pct,total,pct
Age group (yrs),,,,,,,,,,,,
<13,"1,684",0.4,"1,727",1.2,*,*,*,*,*,*,"3,411",0.6
13–14,214,0.1,240,0.2,*,*,*,*,*,*,454,0.1
15–19,"1,637",0.4,962,0.7,39,0.4,7,0.7,2,0.5,"2,647",0.5
20–24,"12,876",3.2,"3,016",2.1,582,5.7,67,6.6,35,8.3,"16,576",3.0
25–29,"33,938",8.4,"6,661",4.6,"1,458",14.3,114,11.3,68,16.1,"42,239",7.5
30–34,"46,948",11.6,"10,156",7.0,"1,974",19.4,179,17.8,78,18.5,"59,335",10.6
35–39,"40,531",10.0,"12,934",8.9,"1,448",14.2,112,11.1,54,12.8,"55,079",9.8
40–44,"37,488",9.3,"16,167",11.1,"1,147",11.3,100,9.9,45,10.7,"54,947",9.8
45–49,"38,308",9.5,"18,106",12.4,"1,017",10.0,86,8.5,35,8.3,"57,552",10.3
50–54,"52,282",12.9,"21,333",14.7,"1,036",10.2,114,11.3,32,7.6,"74,797",13.3
55–59,"59,133",14.6,"22,084",15.2,753,7.4,100,9.9,32,7.6,"82,102",14.6
60–64,"41,522",10.3,"16,687",11.5,441,4.3,84,8.3,31,7.3,"58,765",10.5
≥65,"37,518",9.3,"15,368",10.6,272,2.7,45,4.5,10,2.4,"53,213",9.5
Subtotal,"404,079",100.0,"145,441",100.0,"10,167",100.0,"1,008",100.0,422,100.0,"561,117",100.0
Race/ethnicity,,,,,,,,,,,,
American Indian/Alaska Native,"2,008",0.5,694,0.5,85,0.8,7,0.7,1,0.3,"2,795",0.5
Asian,"6,385",1.6,"1,613",1.1,172,1.7,14,1.4,10,2.6,"8,194",1.5
Black/African American,"163,847",41.1,"88,194",61.3,"5,399",53.6,520,52.3,174,45.3,"258,134",46.6
Hispanic/Latinob,"99,608",25.0,"28,136",19.6,"2,976",29.5,202,20.3,82,21.4,"131,004",23.6
Native Hawaiian/Pacific Islander,819,0.2,197,0.1,53,0.5,3,0.3,1,0.3,"1,073",0.2
White,"121,554",30.5,"23,504",16.3,"1,199",11.9,233,23.4,109,28.4,"146,599",26.4
Multiple races,"4,802",1.2,"1,560",1.1,189,1.9,15,1.5,7,1.8,"6,573",1.2
Subtotal,"399,023",100.0,"143,898",100.0,"10,073",100.0,994,100.0,384,100.0,"554,372",100.0
Transmission category,,,,,,,,,,,,
Male-to-male sexual contact,"234,809",66.7,0,0.0,0,0.0,0,0.0,0,0.0,"234,809",48.2
Injection drug use,"19,105",5.4,"10,148",8.1,92,1.1,24,3.2,3,1.4,"29,372",6.0
Male-to-male sexual contact,"11,055",3.1,0,0.0,0,0.0,0,0.0,0,0.0,"11,055",2.3
and injection drug use,,,,,,,,,,,,
Heterosexual contactc,"81,038",23.0,"108,929",86.8,0,0.0,0,0.0,0,0.0,"189,967",39.0
Perinatal,"4,150",1.2,"4,945",3.9,31,0.4,22,2.9,2,0.9,"9,150",1.9
Otherd,"2,090",0.6,"1,534",1.2,30,0.4,2,0.3,1,0.5,"3,657",0.8
Sexual contacte,0,0.0,0,0.0,"7,925",93.6,669,89.1,206,93.6,"8,800",1.8
Sexual contacte and injection drug use,0,0.0,0,0.0,392,4.6,34,4.5,8,3.6,434,0.1
Subtotal,"352,247",100.0,"125,556",100.0,"8,470",100.0,751,100.0,220,100.0,"487,244",100.0
