,idu,pct,heteosexual,pct,perinatal,pct,other,pct
Age group (yrs),,,,,,,,
<13,—,—,—,—,"1,136",22.5,2,0.1
13–14,0,0,5,<0.1,138,2.7,0,0
15–19,6,0.1,144,0.1,500,9.9,7,0.4
20–24,48,0.5,"1,371",1.3,786,15.6,9,0.6
25–29,224,2.2,"3,720",3.5,"1,235",24.5,26,1.6
30–34,472,4.7,"6,769",6.3,952,18.9,56,3.5
35–39,650,6.5,"9,482",8.8,283,5.6,108,6.8
40–44,790,7.9,"12,644",11.8,19,0.4,112,7
45–49,826,8.3,"13,874",12.9,—,—,161,10.1
50–54,"1,376",13.8,"16,267",15.2,—,—,207,13
55–59,"2,074",20.8,"16,808",15.7,—,—,260,16.4
60–64,"1,834",18.4,"13,185",12.3,—,—,229,14.4
≥65,"1,665",16.7,"12,880",12,—,—,412,25.9
Total,"9,965",100,"107,149",100,"5,049",100,"1,589",100
