,full pay n,full pay %,premum n,premium %,copay n,copay %,multiple n,multiple %,total n
Age group (yrs),,,,,,,,,
<13,45,43.3,3,2.9,31,29.8,25,24,104
13–14,16,38.1,2,4.8,15,35.7,9,21.4,42
15–19,328,73.2,8,1.8,64,14.3,48,10.7,448
20–24,"4,885",71.4,231,3.4,591,8.6,"1,133",16.6,"6,840"
25–29,"13,184",65.8,844,4.2,"1,672",8.3,"4,337",21.6,"20,037"
30–34,"17,304",61.3,"1,339",4.7,"2,523",8.9,"7,069",25,"28,235"
35–39,"15,365",59,"1,265",4.9,"2,676",10.3,"6,749",25.9,"26,055"
40–44,"14,669",56.8,"1,274",4.9,"3,053",11.8,"6,839",26.5,"25,835"
45–49,"13,450",51.7,"1,361",5.2,"3,723",14.3,"7,495",28.8,"26,029"
50–54,"14,112",44.9,"1,708",5.4,"6,081",19.3,"9,540",30.3,"31,441"
55–59,"11,687",36.2,"1,904",5.9,"8,246",25.6,"10,404",32.3,"32,241"
60–64,"6,917",30.3,"1,496",6.5,"6,972",30.5,"7,456",32.6,"22,841"
≥65,"3,756",15.9,"1,200",5.1,"11,953",50.7,"6,689",28.3,"23,598"
Subtotal,"115,718",47.5,"12,635",5.2,"47,600",19.5,"67,793",27.8,"243,746"
Race/ethnicity,,,,,,,,,
American Indian/Alaska Native,224,31.5,64,9,184,25.9,238,33.5,710
Asian,"1,755",40,267,6.1,891,20.3,"1,476",33.6,"4,389"
Black/African American,"49,176",52.9,"4,340",4.7,"16,192",17.4,"23,238",25,"92,946"
Hispanic/Latinob,"44,974",62.6,"2,646",3.7,"8,423",11.7,"15,783",22,"71,826"
Native Hawaiian/Pacific Islander,152,35,31,7.1,113,26,138,31.8,434
White,"18,222",26.1,"5,019",7.2,"20,969",30,"25,734",36.8,"69,944"
Multiple races,609,28.1,152,7,554,25.6,849,39.2,"2,164"
Subtotal,"115,112",47.5,"12,519",5.2,"47,326",19.5,"67,456",27.8,"242,413"
Sex,,,,,,,,,
Male,"88,602",46.4,"10,136",5.3,"37,930",19.9,"54,387",28.5,"191,055"
Female,"24,807",50.7,"2,341",4.8,"9,265",18.9,"12,528",25.6,"48,941"
Transgender male,131,46.8,21,7.5,35,12.5,93,33.2,280
Transgender female,"1,922",62,121,3.9,339,10.9,716,23.1,"3,098"
Other gender identity,201,70.8,13,4.6,20,7,50,17.6,284
Subtotal,"115,663",47.5,"12,632",5.2,"47,589",19.5,"67,774",27.8,"243,658"
Federal poverty level,,,,,,,,,
0–100%,"79,137",69.9,"3,503",3.1,"11,556",10.2,"18,982",16.8,"113,178"
101–138%,"8,367",36.3,"1,548",6.7,"6,844",29.7,"6,292",27.3,"23,051"
139–250%,"18,156",29.7,"4,382",7.2,"15,537",25.4,"23,111",37.8,"61,186"
251–400%,"7,116",19.9,"2,551",7.2,"10,745",30.1,"15,259",42.8,"35,671"
>400%,"1,059",14.6,519,7.1,"2,604",35.8,"3,092",42.5,"7,274"
Subtotal,"113,835",47.4,"12,503",5.2,"47,286",19.7,"66,736",27.8,"240,360"
Total,"115,718",,"12,635",,"47,600",,"67,793",,"243,746"
