,full pay n,full pay %,premum n,premium %,copay n,copay %,multiple n,multiple %,total n
Age group (yrs),,,,,,,,,
<13,40,49.4,1,1.2,20,24.7,20,24.7,81
13–14,8,20.5,2,5.1,19,48.7,10,25.6,39
15–19,215,67.4,12,3.8,52,16.3,40,12.5,319
20–24,"4,018",69.2,172,3,443,7.6,"1,170",20.2,"5,803"
25–29,"11,233",63.4,763,4.3,"1,296",7.3,"4,436",25,"17,728"
30–34,"16,227",59.7,"1,248",4.6,"2,174",8,"7,552",27.8,"27,201"
35–39,"14,456",57,"1,169",4.6,"2,257",8.9,"7,491",29.5,"25,373"
40–44,"13,818",55.3,"1,136",4.5,"2,554",10.2,"7,497",30,"25,005"
45–49,"12,352",51.6,"1,116",4.7,"2,886",12.1,"7,571",31.6,"23,925"
50–54,"12,790",44,"1,442",5,"4,591",15.8,"10,263",35.3,"29,086"
55–59,"11,246",36,"1,641",5.3,"6,615",21.2,"11,711",37.5,"31,213"
60–64,"6,919",29.4,"1,273",5.4,"6,129",26.1,"9,202",39.1,"23,523"
≥65,"4,012",15.2,939,3.6,"11,532",43.7,"9,903",37.5,"26,386"
Subtotal,"107,334",45.5,"10,914",4.6,"40,568",17.2,"76,866",32.6,"235,682"
Race/ethnicity,,,,,,,,,
American Indian/Alaska Native,257,35,65,8.8,165,22.4,248,33.7,735
Asian,"1,542",36.9,288,6.9,815,19.5,"1,536",36.7,"4,181"
Black/African American,"43,296",50.4,"3,112",3.6,"12,989",15.1,"26,589",30.9,"85,986"
Hispanic/Latinob,"44,147",61.8,"2,438",3.4,"7,373",10.3,"17,486",24.5,"71,444"
Native Hawaiian/Pacific Islander,197,40,27,5.5,110,22.4,158,32.1,492
White,"16,228",23.5,"4,784",6.9,"18,519",26.8,"29,446",42.7,"68,977"
Multiple races,495,26.4,136,7.3,431,23,810,43.3,"1,872"
Subtotal,"106,162",45.4,"10,850",4.6,"40,402",17.3,"76,273",32.6,"233,687"
Sex,,,,,,,,,
Male,"82,875",44.4,"9,097",4.9,"32,858",17.6,"61,667",33.1,"186,497"
Female,"21,914",48.7,"1,668",3.7,"7,354",16.3,"14,063",31.3,"44,999"
Transgender male,303,54.7,17,3.1,60,10.8,174,31.4,554
Transgender female,"1,895",60,119,3.8,264,8.4,879,27.8,"3,157"
Other gender identity,271,75.9,7,2,19,5.3,60,16.8,357
Subtotal,"107,258",45.5,"10,908",4.6,"40,555",17.2,"76,843",32.6,"235,564"
Federal poverty level,,,,,,,,,
0–100%,"70,618",68.4,"3,081",3,"8,591",8.3,"20,959",20.3,"103,249"
101–138%,"7,765",35.8,"1,142",5.3,"5,847",26.9,"6,963",32.1,"21,717"
139–250%,"18,008",29.9,"3,565",5.9,"13,365",22.2,"25,290",42,"60,228"
251–400%,"8,008",20.5,"2,437",6.2,"9,737",24.9,"18,857",48.3,"39,039"
>400%,"1,403",15,577,6.1,"2,820",30.1,"4,583",48.8,"9,383"
Subtotal,"105,802",45.3,"10,802",4.6,"40,360",17.3,"76,652",32.8,"233,616"
Total,"107,334",,"10,914",,"40,568",,"76,866",,"235,682"
