,male,pct,female,pct,trans_male,pct,trans_female,pct,other,pct,total,pct
Age group (yrs),,,,,,,,,,,,
<13,61,<0.1,65,0.1,*,*,*,*,*,*,126,<0.1
13–14,21,<0.1,26,<0.1,*,*,*,*,*,*,47,<0.1
15–19,353,0.2,146,0.3,1,0.2,8,0.2,2,0.4,510,0.2
20–24,"6,032",2.6,829,1.4,23,4.7,220,5.2,36,7.1,"7,140",2.5
25–29,"18,541",8.1,"2,093",3.7,57,11.7,585,13.7,99,19.6,"21,375",7.3
30–34,"29,718",13,"3,725",6.5,76,15.5,906,21.2,118,23.3,"34,543",11.9
35–39,"26,376",11.5,"5,056",8.8,60,12.3,684,16,62,12.3,"32,238",11.1
40–44,"23,148",10.1,"6,704",11.7,69,14.1,524,12.3,65,12.8,"30,510",10.5
45–49,"20,016",8.8,"7,681",13.4,46,9.4,403,9.4,40,7.9,"28,186",9.7
50–54,"24,381",10.7,"8,418",14.7,42,8.6,353,8.3,23,4.5,"33,217",11.4
55–59,"28,438",12.4,"8,030",14,39,8,305,7.1,26,5.1,"36,838",12.7
60–64,"23,424",10.3,"6,717",11.7,33,6.7,146,3.4,16,3.2,"30,336",10.4
≥65,"27,936",12.2,"7,733",13.5,43,8.8,132,3.1,19,3.8,"35,863",12.3
Subtotal,"228,445",100,"57,223",100,489,100,"4,266",100,506,100,"290,929",100
Race/ethnicity,,,,,,,,,,,,
American Indian/Alaska Native,759,0.3,205,0.4,0,0,23,0.5,3,0.6,990,0.3
Asian,"4,143",1.8,836,1.5,12,2.5,75,1.8,17,3.4,"5,083",1.8
Black/African American,"75,734",33.5,"31,210",55.1,204,42.3,"1,878",44.8,175,34.7,"109,201",37.9
Hispanic/Latinob,"70,047",31,"13,588",24,133,27.6,"1,560",37.2,246,48.8,"85,574",29.7
Native Hawaiian/Pacific Islander,395,0.2,71,0.1,1,0.2,19,0.5,0,0,486,0.2
White,"72,994",32.3,"10,280",18.2,127,26.3,571,13.6,61,12.1,"84,033",29.2
Multiple races,"1,879",0.8,444,0.8,5,1,64,1.5,2,0.4,"2,394",0.8
Subtotal,"225,951",100,"56,634",100,482,100,"4,190",100,504,100,"287,761",100
Federal poverty level,,,,,,,,,,,,
0–100%,"92,821",41.8,"27,598",49.4,221,46.1,"2,462",59.8,361,72.3,"123,463",43.6
101–138%,"21,165",9.5,"5,275",9.4,31,6.5,319,7.7,29,5.8,"26,819",9.5
139–250%,"57,030",25.7,"12,702",22.7,129,26.9,745,18.1,57,11.4,"70,663",24.9
251–400%,"40,457",18.2,"8,280",14.8,83,17.3,472,11.5,38,7.6,"49,330",17.4
>400%,"10,796",4.9,"2,059",3.7,15,3.1,120,2.9,14,2.8,"13,004",4.6
Subtotal,"222,269",100,"55,914",100,479,100,"4,118",100,499,100,"283,279",100
