,american_indian_alaska_native,suppressed,pct,asian,suppressed,pct,black,suppressed,pct,hispanic,suppressed,pct,native_hawaiian_pacific_islander,suppressed,pct,white,suppressed,pct,multiple_races,suppressed,pct,total,suppressed,pct
Gender,,,,,,,,,,,,,,,,,,,,,,,,
Male,63,54,85.7,116,106,91.4,"4,774","4,221",88.4,"3,510","3,072",87.5,13,12,92.3,"3,659","3,223",88.1,113,96,85.0,"12,290",10819,88.0
Female,60,44,73.3,20,19,95.0,"2,820","2,528",89.6,"1,188","1,040",87.5,5,5,100.0,"2,380","2,082",87.5,99,94,94.9,"6,593",5833,88.5
Transgender,1,1,100.0,1,1,100.0,19,18,94.7,14,8,57.1,1,1,100.0,10,8,80.0,1,0,0.0,47,37,78.7
Age group (yrs),,,,,,,,,,,,,,,,,,,,,,,,
13–14,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—
15–19,0,—,—,0,—,—,2,1,50.0,0,—,—,0,—,—,5,5,100.0,0,—,—,7,6,85.7
20–24,0,—,—,0,—,—,21,18,85.7,14,11,78.6,0,—,—,42,34,81.0,1,1,100.0,80,65,81.3
25–29,3,2,66.7,5,5,100.0,44,32,72.7,63,53,84.1,0,—,—,260,203,78.1,6,5,83.3,385,303,78.7
30–34,7,4,57.1,12,10,83.3,121,93,76.9,110,87,79.1,1,1,100.0,449,377,84.0,11,10,90.9,717,586,81.7
35–39,14,10,71.4,27,25,92.6,153,123,80.4,197,161,81.7,1,0,0.0,587,470,80.1,11,7,63.6,992,797,80.3
40–44,12,9,75.0,19,19,100.0,213,168,78.9,378,294,77.8,1,1,100.0,631,515,81.6,20,18,90.0,"1,277",1027,80.4
45–49,12,7,58.3,29,26,89.7,347,294,84.7,470,420,89.4,2,2,100.0,630,527,83.7,27,23,85.2,"1,525",1306,85.6
50–54,22,21,95.5,15,14,93.3,795,686,86.3,779,664,85.2,6,6,100.0,914,818,89.5,31,28,90.3,"2,565",2239,87.3
55–59,23,20,87.0,12,11,91.7,"1,673","1,466",87.6,"1,077",936,86.9,5,5,100.0,"1,142","1,047",91.7,36,32,88.9,"3,982",3531,88.7
60–64,19,16,84.2,10,9,90.0,"2,061","1,865",90.5,938,844,90.0,3,3,100.0,865,814,94.1,35,32,91.4,"3,942",3594,91.2
≥65,12,10,83.3,8,7,87.5,"2,183","2,021",92.6,686,650,94.8,0,—,—,524,503,96.0,35,34,97.1,"3,458",3235,93.6
