,american_indian_alaska_native,suppressed,pct,asian,suppressed,pct,black,suppressed,pct,hispanic,suppressed,pct,native_hawaiian_pacific_islander,suppressed,pct,white,suppressed,pct,multiple_races,suppressed,pct,total,suppressed,pct
Gender,,,,,,,,,,,,,,,,,,,,,,,,
Male,67,57,85.1,114,110,96.5,"5,345","4,675",87.5,"3,866","3,370",87.2,20,16,80.0,"3,815","3,307",86.7,97,84,86.6,"13,352","11,644",87.2
Female,66,51,77.3,20,16,80.0,"3,183","2,806",88.2,"1,289","1,129",87.6,3,3,100.0,"2,558","2,177",85.1,88,78,88.6,"7,226","6,274",86.8
Transgender,1,0,0.0,1,1,100.0,31,27,87.1,24,20,83.3,1,1,100.0,24,19,79.2,3,2,66.7,89,73,82.0
Age group (yr),,,,,,,,,,,,,,,,,,,,,,,,
13–14,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—,0,—,—
15–19,0,—,—,1,1,100.0,1,1,100.0,0,—,—,0,—,—,2,1,50.0,1,1,100.0,5,4,80.0
20–24,1,1,100.0,1,1,100.0,21,12,57.1,21,15,71.4,0,—,—,56,45,80.4,0,—,—,100,74,74.0
25–29,3,2,66.7,3,3,100.0,59,44,74.6,68,53,77.9,0,—,—,289,209,72.3,8,7,87.5,434,320,73.7
30–34,12,7,58.3,12,10,83.3,123,96,78.0,121,99,81.8,1,1,100.0,498,388,77.9,9,8,88.9,781,613,78.5
35–39,10,6,60.0,29,28,96.6,175,134,76.6,237,188,79.3,2,2,100.0,621,500,80.5,12,8,66.7,"1,089",869,79.8
40–44,17,11,64.7,27,26,96.3,239,177,74.1,421,341,81.0,1,1,100.0,632,508,80.4,18,16,88.9,"1,357","1,082",79.7
45–49,14,11,78.6,20,19,95.0,484,397,82.0,569,486,85.4,4,4,100.0,739,597,80.8,29,23,79.3,"1,867","1,542",82.6
50–54,23,19,82.6,16,15,93.8,"1,039",854,82.2,920,776,84.3,6,4,66.7,"1,020",896,87.8,23,22,95.7,"3,054","2,592",84.9
55–59,28,27,96.4,11,11,100.0,"1,984","1,721",86.7,"1,240","1,096",88.4,5,4,80.0,"1,255","1,145",91.2,33,29,87.9,"4,567","4,042",88.5
60–64,17,15,88.2,7,5,71.4,"2,364","2,143",90.7,918,840,91.5,3,2,66.7,821,771,93.9,30,27,90.0,"4,164","3,807",91.4
≥65,9,9,100.0,8,8,100.0,"2,070","1,929",93.2,664,625,94.1,2,2,100.0,464,443,95.5,25,23,92.0,"3,249","3,046",93.8
