RECODE - FINAL EDITED AGE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,275221248.1907104,56136,2734553.242955512
1 - Respondent is 12 years old,0.014302344286983725,0.0004581892390855375,0.013410633542052647,0.015252430742160157,1.0,0.0,N/A,N/A,0.014302344286983725,0.0004581892390855375,0.013410633542052647,0.015252430742160157,3936309.046716937,2086,121909.74364220236
10 - Respondent is 21 years old,0.014696904137857554,0.0005560086805801264,0.013620931367625539,0.015856506031638656,1.0,0.0,N/A,N/A,0.014696904137857554,0.0005560086805801264,0.013620931367625539,0.015856506031638656,4044900.301360373,1682,154474.0722582759
11 - Respondent is 22 or 23 years old,0.029433935753349908,0.0006977254378800797,0.028064402304026046,0.030868179402241878,1.0,0.0,N/A,N/A,0.029433935753349908,0.0006977254378800797,0.028064402304026046,0.030868179402241878,8100844.53720214,3444,199866.61424945507
12 - Respondent is 24 or 25 years old,0.030502662241920813,0.0006698727071202777,0.029185545707276793,0.031877267265224156,1.0,0.0,N/A,N/A,0.030502662241920813,0.0006698727071202777,0.029185545707276793,0.031877267265224156,8394980.7753611,3731,209722.43491361392
13 - Respondent is between 26 and 29 years old,0.06583989270725603,0.0014916723068171304,0.06290640226619248,0.06890012149994937,1.0,0.0,N/A,N/A,0.06583989270725603,0.0014916723068171304,0.06290640226619248,0.06890012149994937,18120537.451633457,3907,462078.7774659888
14 - Respondent is between 30 and 34 years old,0.08067128156753874,0.001523623594037486,0.07766346522853704,0.08378500528247737,1.0,0.0,N/A,N/A,0.08067128156753874,0.001523623594037486,0.07766346522853704,0.08378500528247737,22202450.80616226,4694,455601.0312642554
15 - Respondent is between 35 and 49 years old,0.22130670541802805,0.002360342756500385,0.21660218372441878,0.22608391894737093,1.0,0.0,N/A,N/A,0.22130670541802805,0.002360342756500385,0.21660218372441878,0.22608391894737093,60908307.69812354,11134,842320.183866464
16 - Respondent is between 50 and 64 years old,0.22741856723267065,0.0035917785633699647,0.22028510984256036,0.2347134890259629,1.0,0.0,N/A,N/A,0.22741856723267065,0.0035917785633699647,0.22028510984256036,0.2347134890259629,62590421.935518615,4880,1195888.7331441247
17 - Respondent is 65 years old or older,0.19170758348386416,0.0032501224429489846,0.18526416003143714,0.19832055721642242,1.0,0.0,N/A,N/A,0.19170758348386416,0.0032501224429489846,0.18526416003143714,0.19832055721642242,52762000.41405392,3898,1120028.1710047428
2 - Respondent is 13 years old,0.015325186741294006,0.0003790271847972138,0.014582212696197774,0.016105397146633133,1.0,0.0,N/A,N/A,0.015325186741294006,0.0003790271847972138,0.014582212696197774,0.016105397146633133,4217817.023694662,2247,103715.66864833636
3 - Respondent is 14 years old,0.015603011476019597,0.0004708397687270491,0.014684972492440213,0.016577476573035453,1.0,0.0,N/A,N/A,0.015603011476019597,0.0004708397687270491,0.014684972492440213,0.016577476573035453,4294280.293964093,2222,127121.14121222183
4 - Respondent is 15 years old,0.015219990528215264,0.00040850941765377033,0.014420881985067286,0.016062658624691806,1.0,0.0,N/A,N/A,0.015219990528215264,0.00040850941765377033,0.014420881985067286,0.016062658624691806,4188864.7906261953,2323,110006.32642542018
5 - Respondent is 16 years old,0.015097262908517674,0.0004887258149375278,0.014146412181187007,0.01611098059212274,1.0,0.0,N/A,N/A,0.015097262908517674,0.0004887258149375278,0.014146412181187007,0.01611098059212274,4155087.5419455497,2293,131054.15495062576
6 - Respondent is 17 years old,0.01494317603118622,0.0004295354441956125,0.014104511735124982,0.01583090715953553,1.0,0.0,N/A,N/A,0.01494317603118622,0.0004295354441956125,0.014104511735124982,0.01583090715953553,4112679.5592365777,2226,123082.09272130686
7 - Respondent is 18 years old,0.017215253100819193,0.0006349517004387216,0.015985259475107743,0.01853810619532464,1.0,0.0,N/A,N/A,0.017215253100819193,0.0006349517004387216,0.015985259475107743,0.01853810619532464,4738003.446326456,1912,181041.53298926906
8 - Respondent is 19 years old,0.015763468963727097,0.0005383820992847196,0.014717811533066547,0.016882144369858937,1.0,0.0,N/A,N/A,0.015763468963727097,0.0005383820992847196,0.014717811533066547,0.016882144369858937,4338441.604012497,1769,157225.34783740982
9 - Respondent is 20 years old,0.014952773420752656,0.0005217521451756225,0.013940175996611641,0.016037728376405894,1.0,0.0,N/A,N/A,0.014952773420752656,0.0005217521451756225,0.013940175996611641,0.016037728376405894,4115320.9647724247,1688,149316.61455827762
