RECODE - FINAL EDITED AGE,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
13 - Respondent is between 26 and 29 years old,1 - Within the past 30 days,0.000346551359441129,8.744016023979262e-05,0.00020876375687453298,0.0005752287814992183,0.17726373739299592,0.03766137527728317,0.11368127515493771,0.26574559439240736,0.005341086335441296,0.0013773692581320778,0.003179891808707166,0.008957924091315416,93371.37962582002,24,23516.29832334398
4 - Respondent is 15 years old,3 - More than 12 months ago,1.7670042945179355e-06,1.7702404289589556e-06,2.3622889861738248e-07,1.3217151769799365e-05,0.00013526935494725668,0.00013611353117784272,1.792180277907542e-05,0.001020195892509579,0.00010773580245325144,0.00010759176086635861,1.4493284277255232e-05,0.0008003737609907341,476.08420596,1,476.08420596
11 - Respondent is 22 or 23 years old,Overall,0.032652857910844414,0.0007994109585470425,0.031084784057499183,0.034297233343737334,0.032652857910844414,0.0007994109585470425,0.031084784057499183,0.034297233343737334,1.0,0.0,N/A,N/A,8797663.92138289,3454,229977.32457930146
16 - Respondent is between 50 and 64 years old,13 - More than 12 months ago LOGICALLY ASSIGNED,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
5 - Respondent is 16 years old,Overall,0.01615669276829214,0.0004045191564609152,0.015363969926389678,0.016989611372218577,0.01615669276829214,0.0004045191564609152,0.015363969926389678,0.016989611372218577,1.0,0.0,N/A,N/A,4353099.91684571,2454,116344.06759456026
2 - Respondent is 13 years old,2 - More than 30 days ago but within the past 12 mos,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
13 - Respondent is between 26 and 29 years old,Overall,0.06488405872444972,0.001242705251770889,0.062432245133571644,0.06742523447829804,0.06488405872444972,0.001242705251770889,0.062432245133571644,0.06742523447829804,1.0,0.0,N/A,N/A,17481720.714051217,3948,349275.0666841035
9 - Respondent is 20 years old,Overall,0.015581471591430085,0.00044955900238852306,0.014703788113289939,0.016510666955163244,0.015581471591430085,0.00044955900238852306,0.014703788113289939,0.016510666955163244,1.0,0.0,N/A,N/A,4198117.997397427,1607,113012.60996661385
2 - Respondent is 13 years old,1 - Within the past 30 days,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
10 - Respondent is 21 years old,81 - NEVER USED COC/HER/STM W/NEEDLE Log assn,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
