RECODE - FINAL EDITED AGE,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Unweighted Count,Count SE
14 - Respondent is between 30 and 34 years old,98 - MISSING,5.552083506609759e-05,4.2012927216144884e-05,1.2143929365672617e-05,0.0002537964027704689,0.08659679883089307,0.06751443145888669,0.016785149343230697,0.3449084502321696,0.0007028442407087713,0.0005268356220319872,0.00015587503071033551,0.0031630695729777327,14862.621580800002,2,11252.56944611754
4 - Respondent is 15 years old,97 - REFUSED,1.5766446702101373e-05,9.242032734049543e-06,4.857344843057636e-06,5.117502655233071e-05,0.022988332689712645,0.014415882338906515,0.0064403781779217295,0.07868737097578112,0.0009823536166608524,0.0005767461902794325,0.0003019418716737845,0.0031911467027633633,4220.5908958,3,2485.1034762778704
12 - Respondent is 24 or 25 years old,Overall,0.034179204357067304,0.0008156753829301382,0.03257821348007814,0.035855956659280735,0.034179204357067304,0.0008156753829301382,0.03257821348007814,0.035855956659280735,1.0,0.0,N/A,N/A,9149584.650287706,3908,221817.1684809213
8 - Respondent is 19 years old,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
15 - Respondent is between 35 and 49 years old,98 - MISSING,7.748467038613745e-05,7.577874228394075e-05,1.0866194089775163e-05,0.0005523022080795444,0.12085416953686365,0.10366962944325314,0.018999234842651057,0.4938608513996671,0.00034318021192909895,0.0003359249479278679,4.8027815547921126e-05,0.00244773600275113,20742.21925681,3,20273.34435763715
6 - Respondent is 17 years old,Overall,0.01572380263570367,0.000478005063119612,0.014791993866187583,0.01671331411136169,0.01572380263570367,0.000478005063119612,0.014791993866187583,0.01671331411136169,1.0,0.0,N/A,N/A,4209175.314229927,2260,133848.36877055623
3 - Respondent is 14 years old,3 - More than 12 months ago,1.6040842162875605e-05,1.1479847513011867e-05,3.810172832886255e-06,6.752935545807043e-05,0.0011998770329284113,0.0008499599869919976,0.00028898318131783106,0.004967700396764692,0.000975573395147269,0.0006942650391040378,0.00023345391202564812,0.004067196581904397,4294.0450485,2,3067.018075952966
14 - Respondent is between 30 and 34 years old,9 - At some point in the lifetime LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
6 - Respondent is 17 years old,8 - At some point in the past 12 months LOG ASSN,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0,0.0
17 - Respondent is 65 years old or older,Overall,0.17451543227696034,0.003951252876007157,0.166720844151408,0.1825945820948319,0.17451543227696034,0.003951252876007157,0.166720844151408,0.1825945820948319,1.0,0.0,N/A,N/A,46716819.49405701,3598,1279242.7670932333
